Organisation,Website,Archives[0],Archives[1],Archives[2],Archives[3]
AP Fact Check,https://www.apnews.com/tag/APFactCheck,https://web.archive.org/web/*/https://www.apnews.com/tag/APFactCheck,https://archive.is/https://www.apnews.com/tag/APFactCheck,,
CrossCheck,https://crosscheck.firstdraftnews.org/france-en/,https://web.archive.org/web/*/https://crosscheck.firstdraftnews.org/france-en/,https://archive.is/https://crosscheck.firstdraftnews.org/france-en/,,
FactCheck.org,https://www.factcheck.org/,https://web.archive.org/web/*/https://www.factcheck.org/,https://archive.is/https://www.factcheck.org/,http://webarchive.loc.gov/all/*/http://www.factcheck.org/,http://wayback.archive-it.org/all/*/http://factcheck.org/
Full Fact,https://fullfact.org/,https://web.archive.org/web/*/https://fullfact.org/,https://archive.is/https://fullfact.org/,http://webarchive.loc.gov/all/*/http://fullfact.org/,http://wayback.archive-it.org/all/*/http://fullfact.org/
FactCheck (Channel 4 News),https://www.channel4.com/news/factcheck,https://web.archive.org/web/*/https://www.channel4.com/news/factcheck,https://archive.is/https://www.channel4.com/news/factcheck,,
Fact Check (ABC News),http://www.abc.net.au/news/factcheck/,https://web.archive.org/web/*/http://www.abc.net.au/news/factcheck/,https://archive.is/http://www.abc.net.au/news/factcheck/,,
Snopes,https://www.snopes.com/,,https://archive.is/https://www.snopes.com/,http://wayback.archive-it.org/all/*/http://www.snopes.com/,
Donald Trump Fact Check (Toronto Star),http://projects.thestar.com/donald-trump-fact-check/,https://web.archive.org/web/*/http://projects.thestar.com/donald-trump-fact-check/,https://archive.is/http://projects.thestar.com/donald-trump-fact-check/,,
Behind the Headlines (NHS & Bazian),https://www.nhs.uk/news/,https://web.archive.org/web/*/https://www.nhs.uk/news/,https://archive.is/https://www.nhs.uk/news/,http://webarchive.nationalarchives.gov.uk/*/https://www.nhs.uk/news/,https://www.webarchive.org.uk/wayback/archive/*/https://www.nhs.uk/news/
Politifact,http://www.politifact.com/,https://web.archive.org/web/*/http://www.politifact.com/,https://archive.is/http://www.politifact.com/,http://webarchive.loc.gov/all/*/http://www.politifact.com/,
